Product_ID,Product_Name,Category,  Unit_Price  ,Stock_Quantity,Stock_Level,Reorder_Point,Lead_Time_Days,Last_Restock_Date,Supplier_ID,Warehouse_Location,Min_Order_Quantity,Status,Entry_Date,Country,Latitude,Longitude
SKU004340,Product_4340,Home & Garden,348.65,326,Mid,20,7,29/9/2024,SUP010,AISLE-01-SHELF-06,6,In Stock,13/4/2024,Spain,41.6254,-7.4017
SKU004799,Product_4799,Sports,556.62,734,High,33,25,25/12/2023,SUP006,AISLE-01-SHELF-06,8,In Stock,7/8/2023,Poland,49.9058,15.1531
SKU004850,Product_4850,Books,737.69,318,Mid,25,29,18/6/2025,SUP046,AISLE-01-SHELF-06,32,In Stock,13/7/2024,Germany,51.0691,13.2635
SKU004949,Product_4949,Home & Garden,899.81,811,High,80,17,3/3/2024,SUP029,AISLE-01-SHELF-06,8,Out of Stock,20/9/2023,Italy,46.0017,15.6521
SKU001714,Product_1714,Books,21.10,210,Low,53,9,5/4/2024,SUP045,AISLE-01-SHELF-07,35,In Stock,7/6/2023,France,42.7551,2.9928
SKU003110,Product_3110,Office Supplies,665.71,585,Mid,30,22,5/3/2025,SUP023,AISLE-01-SHELF-07,34,In Stock,16/2/2025,Italy,43.9523,12.5774
SKU003571,Product_3571,Toys,971.49,717,High,89,6,3/8/2024,SUP043,AISLE-01-SHELF-07,42,Out of Stock,13/1/2024,Sweden,64.4169,15.8755
SKU003940,Product_3940,Electronics,93.87,160,Low,48,20,5/7/2024,SUP001,AISLE-01-SHELF-07,5,In Stock,23/6/2024,Sweden,57.433,22.7124
SKU004585,Product_4585,Office Supplies,197.08,958,High,93,26,21/4/2025,SUP018,AISLE-01-SHELF-07,31,In Stock,1/1/2025,Germany,51.3813,14.1625
SKU004648,Product_4648,Electronics,728.25,359,Mid,38,24,1/2/2025,SUP005,AISLE-01-SHELF-07,13,In Stock,22/1/2025,Poland,53.7781,20.4816
SKU000228,Product_228,Books,60.98,51,Low,67,27,16/5/2025,SUP016,AISLE-01-SHELF-08,16,In Stock,23/11/2024,Netherlands,51.8047,5.3353
SKU000814,Product_814,Sports,89.76,765,High,95,7,31/1/2024,SUP033,AISLE-01-SHELF-08,42,In Stock,15/8/2023,Spain,41.6217,-2.8233
SKU000899,Product_899,Books,957.94,181,Low,45,5,15/4/2024,SUP011,AISLE-01-SHELF-08,5,Out of Stock,26/3/2024,Poland,49.487,21.8002
SKU001896,Product_1896,Books,641.46,815,High,49,26,30/12/2023,SUP038,AISLE-01-SHELF-08,34,In Stock,8/4/2023,United Kingdom,54.3026,-1.411
SKU002265,Product_2265,Books,782.24,716,High,22,3,26/1/2025,SUP029,AISLE-01-SHELF-08,23,In Stock,21/8/2024,Italy,43.9253,12.9058
SKU003250,Product_3250,Office Supplies,867.30,235,Low,84,17,6/6/2023,SUP007,AISLE-01-SHELF-08,28,In Stock,26/4/2023,Netherlands,52.1756,6.214
SKU003413,Product_3413,Clothing,362.04,870,High,81,5,30/12/2024,SUP018,AISLE-01-SHELF-08,30,In Stock,31/7/2024,Austria,47.4608,10.322
SKU000964,Product_964,Clothing,99.75,686,Mid,29,7,24/3/2025,SUP006,AISLE-01-SHELF-09,28,In Stock,8/7/2024,Netherlands,53.4041,4.4288
SKU001136,Product_1136,Sports,29.12,910,High,86,29,30/4/2024,SUP013,AISLE-01-SHELF-09,28,In Stock,11/12/2023,Netherlands,51.7206,6.8081
SKU004067,Product_4067,Clothing,276.46,617,Mid,39,7,28/7/2024,SUP043,AISLE-01-SHELF-09,46,In Stock,21/8/2023,United Kingdom,56.9016,-1.8836
SKU000011,Product_11,Toys,647.30,892,High,49,12,3/3/2024,SUP036,AISLE-01-SHELF-10,48,In Stock,11/5/2023,Spain,38.4329,-7.7614
SKU001500,Product_1500,Books,191.39,976,High,93,23,20/3/2025,SUP005,AISLE-01-SHELF-10,30,Out of Stock,18/2/2025,United Kingdom,53.4595,-3.6437
SKU002729,Product_2729,Sports,339.17,118,Low,43,8,10/7/2024,SUP037,AISLE-01-SHELF-10,36,In Stock,20/3/2024,Belgium,50.21,2.7829
SKU004623,Product_4623,Home & Garden,440.57,454,Mid,43,29,30/9/2024,SUP011,AISLE-01-SHELF-10,26,Out of Stock,19/12/2023,Poland,49.0578,17.4846
SKU002330,Product_2330,Office Supplies,229.44,823,High,35,6,30/6/2025,SUP022,AISLE-01-SHELF-11,44,Out of Stock,8/9/2024,Belgium,50.4579,5.9983
SKU002674,Product_2674,Electronics,644.43,617,Mid,49,15,12/10/2023,SUP040,AISLE-01-SHELF-11,5,In Stock,29/4/2023,France,45.0525,-1.4331
SKU003272,Product_3272,Sports,472.74,707,High,34,22,12/11/2024,SUP009,AISLE-01-SHELF-11,15,In Stock,23/7/2024,France,49.3313,6.9494
SKU001150,Product_1150,Toys,220.92,868,High,78,24,21/5/2024,SUP025,AISLE-01-SHELF-12,17,In Stock,26/3/2024,United Kingdom,52.4854,-1.4795
SKU001792,Product_1792,Books,342.19,500,Mid,93,11,1/3/2025,SUP014,AISLE-01-SHELF-12,39,In Stock,21/11/2024,United Kingdom,56.3616,-4.4889
SKU003662,Product_3662,Office Supplies,316.28,405,Mid,75,11,29/12/2024,SUP021,AISLE-01-SHELF-12,37,In Stock,18/5/2024,France,48.8671,7.4648
SKU003748,Product_3748,Electronics,573.82,776,High,98,14,27/2/2025,SUP038,AISLE-01-SHELF-13,6,In Stock,31/1/2025,Sweden,68.6606,21.5652
SKU004433,Product_4433,Toys,133.13,795,High,60,9,31/3/2024,SUP039,AISLE-01-SHELF-13,12,In Stock,23/9/2023,Spain,43.5861,0.5421
SKU004434,Product_4434,Office Supplies,854.25,198,Low,85,18,18/3/2024,SUP018,AISLE-01-SHELF-13,40,In Stock,24/10/2023,United Kingdom,51.1294,0.3311
SKU000628,Product_628,Office Supplies,752.11,197,Low,55,6,7/1/2024,SUP049,AISLE-01-SHELF-14,16,Out of Stock,6/10/2023,Italy,44.5477,14.8005
SKU001039,Product_1039,Office Supplies,22.53,405,Mid,56,16,6/6/2025,SUP003,AISLE-01-SHELF-14,17,In Stock,7/9/2024,United Kingdom,53.8367,-6.0954
SKU002096,Product_2096,Office Supplies,724.38,49,Low,18,8,14/5/2025,SUP041,AISLE-01-SHELF-14,12,In Stock,16/3/2025,Germany,49.8446,8.9058
SKU002880,Product_2880,Toys,125.29,747,High,23,5,16/9/2023,SUP044,AISLE-01-SHELF-14,48,Out of Stock,25/8/2023,Belgium,49.995,2.8107
SKU003907,Product_3907,Books,868.87,79,Low,77,5,1/10/2023,SUP049,AISLE-01-SHELF-14,11,In Stock,25/4/2023,Poland,54.6083,17.1019
SKU000322,Product_322,Toys,665.01,671,Mid,75,13,6/5/2023,SUP021,AISLE-01-SHELF-15,49,In Stock,9/4/2023,Netherlands,53.1524,4.4288
SKU000389,Product_389,Clothing,217.73,429,Mid,62,1,22/8/2023,SUP037,AISLE-01-SHELF-15,48,In Stock,18/8/2023,United Kingdom,50.0608,0.8414
SKU000794,Product_794,Toys,352.72,340,Mid,56,4,22/1/2025,SUP048,AISLE-01-SHELF-15,49,In Stock,26/1/2024,Italy,42.8233,16.4179
SKU001401,Product_1401,Home & Garden,333.91,104,Low,68,3,18/8/2024,SUP049,AISLE-01-SHELF-15,20,In Stock,16/1/2024,Belgium,49.8759,3.0774
SKU004589,Product_4589,Clothing,164.01,896,High,91,23,26/9/2024,SUP006,AISLE-01-SHELF-15,33,In Stock,28/4/2024,Sweden,66.2059,14.8835
SKU000002,Product_2,Office Supplies,999.15,720,High,75,18,23/3/2025,SUP010,AISLE-01-SHELF-16,28,In Stock,28/6/2024,Spain,37.6868,-6.6718
SKU000280,Product_280,Toys,781.82,84,Low,51,24,17/9/2025,SUP019,AISLE-01-SHELF-16,6,In Stock,30/11/2024,Netherlands,52.9808,6.7551
SKU001204,Product_1204,Office Supplies,209.12,35,Low,36,11,11/2/2024,SUP008,AISLE-01-SHELF-16,39,In Stock,25/5/2023,Netherlands,53.3926,5.8753
SKU001425,Product_1425,Electronics,711.26,350,Mid,50,7,28/11/2023,SUP033,AISLE-01-SHELF-16,16,In Stock,23/9/2023,Spain,42.5321,-5.3957
SKU004625,Product_4625,Toys,292.45,898,High,27,28,31/12/2024,SUP005,AISLE-01-SHELF-16,42,In Stock,6/7/2024,Poland,51.5304,20.4267
SKU001024,Product_1024,Office Supplies,615.04,746,High,22,13,22/2/2025,SUP028,AISLE-01-SHELF-18,35,In Stock,10/3/2024,Poland,49.6785,18.6327
SKU001767,Product_1767,Toys,466.46,486,Mid,44,11,23/6/2024,SUP010,AISLE-01-SHELF-18,29,Out of Stock,17/8/2023,United Kingdom,52.2957,-4.3584
SKU004800,Product_4800,Electronics,953.00,452,Mid,70,22,3/2/2024,SUP007,AISLE-01-SHELF-18,30,In Stock,5/11/2023,Poland,52.9638,20.1601
SKU000031,Product_31,Home & Garden,387.68,372,Mid,98,19,22/6/2023,SUP010,AISLE-01-SHELF-19,8,In Stock,24/5/2023,Sweden,61.7991,17.5482
SKU002813,Product_2813,Clothing,649.76,518,Mid,47,1,25/11/2024,SUP042,AISLE-01-SHELF-19,40,In Stock,19/7/2024,Belgium,50.4418,6.0796
SKU002907,Product_2907,Books,632.49,319,Mid,62,11,9/4/2025,SUP038,AISLE-01-SHELF-19,36,In Stock,28/2/2025,Poland,50.5054,20.7138
SKU004105,Product_4105,Office Supplies,763.27,948,High,16,5,2/6/2024,SUP043,AISLE-01-SHELF-19,7,In Stock,2/10/2023,Poland,53.9985,23.4382
SKU004741,Product_4741,Office Supplies,268.88,400,Mid,62,7,8/4/2025,SUP047,AISLE-01-SHELF-19,38,In Stock,31/8/2024,Germany,51.6492,7.6482
SKU004874,Product_4874,Electronics,304.40,895,High,49,28,28/2/2025,SUP031,AISLE-01-SHELF-19,34,In Stock,21/9/2024,Italy,46.453,14.1966
SKU001109,Product_1109,Books,700.75,956,High,31,10,5/11/2024,SUP012,AISLE-01-SHELF-20,27,In Stock,19/2/2024,Netherlands,53.3155,3.7089
SKU001742,Product_1742,Electronics,20.68,994,High,71,22,6/5/2024,SUP029,AISLE-01-SHELF-20,6,In Stock,7/1/2024,Italy,37.5985,7.2451
SKU001931,Product_1931,Toys,560.46,953,High,81,14,10/1/2025,SUP010,AISLE-01-SHELF-20,22,Out of Stock,24/2/2024,Netherlands,52.5859,6.7394
SKU002435,Product_2435,Electronics,13.08,687,Mid,63,27,21/5/2024,SUP023,AISLE-01-SHELF-20,49,In Stock,4/10/2023,Spain,42.4949,-6.7696
SKU003239,Product_3239,Clothing,487.50,923,High,10,13,27/10/2023,SUP022,AISLE-01-SHELF-20,9,In Stock,5/6/2023,Belgium,49.9167,4.3009
SKU003559,Product_3559,Office Supplies,769.89,310,Mid,22,14,28/3/2025,SUP021,AISLE-01-SHELF-20,33,In Stock,1/3/2025,Spain,39.3027,-7.1272
SKU003765,Product_3765,Electronics,723.62,607,Mid,93,19,23/5/2025,SUP012,AISLE-01-SHELF-20,38,In Stock,3/12/2024,Germany,49.8587,8.1972
SKU001120,Product_1120,Electronics,695.26,279,Low,48,26,24/3/2024,SUP025,AISLE-01-SHELF-21,40,In Stock,31/5/2023,Poland,49.9231,17.6415
SKU001488,Product_1488,Office Supplies,216.10,28,Low,22,2,16/4/2024,SUP031,AISLE-01-SHELF-21,22,In Stock,23/2/2024,Sweden,63.2635,19.5184
SKU001678,Product_1678,Toys,193.69,36,Low,43,18,30/6/2025,SUP011,AISLE-01-SHELF-21,29,In Stock,7/7/2024,Italy,36.7419,8.5298
SKU002385,Product_2385,Toys,577.56,866,High,66,22,8/5/2025,SUP011,AISLE-01-SHELF-21,28,In Stock,21/12/2024,Germany,47.8329,6.1393
SKU002800,Product_2800,Clothing,39.32,350,Mid,55,9,15/6/2024,SUP021,AISLE-01-SHELF-21,16,In Stock,20/7/2023,Italy,46.2049,7.3664
SKU003490,Product_3490,Clothing,692.49,980,High,56,10,17/12/2024,SUP015,AISLE-01-SHELF-21,6,In Stock,19/7/2024,France,50.0593,7.8039
SKU003911,Product_3911,Office Supplies,221.68,674,Mid,65,16,11/8/2023,SUP012,AISLE-01-SHELF-21,29,In Stock,25/7/2023,Poland,53.4852,19.8046
SKU004409,Product_4409,Electronics,588.85,268,Low,29,21,25/12/2024,SUP047,AISLE-01-SHELF-21,48,In Stock,1/12/2024,Austria,47.7188,17.168
SKU000881,Product_881,Clothing,342.90,926,High,82,17,30/10/2024,SUP044,AISLE-01-SHELF-22,22,Out of Stock,1/7/2024,Germany,48.9549,6.6125
SKU001890,Product_1890,Electronics,212.16,224,Low,69,11,11/9/2023,SUP010,AISLE-01-SHELF-22,14,In Stock,2/6/2023,Belgium,50.999,4.9592
SKU003176,Product_3176,Books,909.73,678,Mid,22,12,24/12/2023,SUP038,AISLE-01-SHELF-22,8,In Stock,4/11/2023,Italy,36.6843,12.4558
SKU004868,Product_4868,Toys,158.11,867,High,78,6,23/8/2023,SUP039,AISLE-01-SHELF-22,22,Out of Stock,1/6/2023,Sweden,63.0069,14.3777
SKU000081,Product_81,Sports,928.47,830,High,52,22,3/3/2025,SUP007,AISLE-01-SHELF-23,11,In Stock,18/9/2024,Netherlands,53.2149,6.5121
SKU000332,Product_332,Electronics,118.25,114,Low,55,3,7/4/2024,SUP002,AISLE-01-SHELF-23,20,In Stock,2/11/2023,Netherlands,52.3601,4.5007
SKU002086,Product_2086,Home & Garden,555.11,884,High,43,3,9/12/2023,SUP042,AISLE-01-SHELF-23,30,In Stock,3/8/2023,Spain,36.8437,3.1324
SKU002210,Product_2210,Electronics,505.81,12,Low,39,9,15/11/2024,SUP026,AISLE-01-SHELF-23,35,In Stock,27/12/2023,Belgium,51.2754,3.7409
SKU002783,Product_2783,Books,55.19,473,Mid,15,18,22/12/2023,SUP015,AISLE-01-SHELF-23,15,In Stock,18/7/2023,Belgium,50.6644,3.4704
SKU002874,Product_2874,Sports,740.87,29,Low,11,8,17/9/2024,SUP015,AISLE-01-SHELF-23,6,In Stock,5/10/2023,Netherlands,53.0459,5.8716
SKU000614,Product_614,Books,602.86,82,Low,55,21,19/9/2024,SUP030,AISLE-01-SHELF-24,14,In Stock,25/10/2023,Spain,36.9223,2.7197
SKU002810,Product_2810,Clothing,767.00,825,High,28,29,6/6/2024,SUP022,AISLE-01-SHELF-24,16,In Stock,10/6/2023,Sweden,65.0479,14.9053
SKU003366,Product_3366,Electronics,939.67,9,Low,17,21,15/2/2024,SUP022,AISLE-01-SHELF-24,47,In Stock,26/11/2023,Germany,51.2858,14.8262
SKU003917,Product_3917,Clothing,891.67,300,Low,84,22,7/3/2025,SUP038,AISLE-01-SHELF-24,8,In Stock,18/7/2024,Spain,37.5523,0.6157
SKU004056,Product_4056,Clothing,468.08,731,High,34,2,9/11/2023,SUP043,AISLE-01-SHELF-24,47,Out of Stock,17/10/2023,Germany,50.6259,14.7109
SKU004633,Product_4633,Books,620.29,748,High,64,10,13/10/2025,SUP023,AISLE-01-SHELF-24,35,In Stock,18/3/2025,Italy,38.6437,8.7919
SKU004793,Product_4793,Electronics,366.55,613,Mid,90,14,28/9/2024,SUP008,AISLE-01-SHELF-24,8,In Stock,25/9/2024,Sweden,61.1414,21.2384
SKU001477,Product_1477,Sports,708.55,65,Low,93,4,15/5/2025,SUP038,AISLE-01-SHELF-25,6,Out of Stock,23/10/2024,Netherlands,52.9345,4.2475
SKU002634,Product_2634,Sports,493.11,480,Mid,73,17,5/7/2023,SUP022,AISLE-01-SHELF-25,8,In Stock,21/4/2023,Spain,37.3936,0.3432
SKU003758,Product_3758,Toys,79.20,582,Mid,59,3,29/8/2025,SUP007,AISLE-01-SHELF-25,35,In Stock,29/9/2024,Germany,54.3766,9.1892
SKU004527,Product_4527,Books,812.05,240,Low,22,5,23/6/2025,SUP033,AISLE-01-SHELF-25,36,In Stock,31/10/2024,Italy,38.1807,17.5847
SKU000513,Product_513,Home & Garden,353.03,228,Low,17,24,17/4/2024,SUP006,AISLE-01-SHELF-26,10,In Stock,15/10/2023,Netherlands,51.6269,4.3338
SKU000791,Product_791,Electronics,188.65,899,High,19,8,8/6/2023,SUP039,AISLE-01-SHELF-26,33,In Stock,11/4/2023,Austria,48.3965,15.2888
SKU001441,Product_1441,Home & Garden,115.40,133,Low,86,3,4/5/2025,SUP049,AISLE-01-SHELF-26,30,In Stock,20/1/2025,Belgium,50.4713,5.2463
SKU004426,Product_4426,Office Supplies,764.52,363,Mid,51,27,20/5/2024,SUP024,AISLE-01-SHELF-26,21,Out of Stock,21/2/2024,Austria,47.6441,13.6396
SKU001751,Product_1751,Clothing,221.60,81,Low,19,21,24/7/2024,SUP040,AISLE-01-SHELF-27,20,In Stock,30/3/2024,Italy,45.7043,17.9368
SKU001882,Product_1882,Office Supplies,906.23,870,High,41,19,19/1/2026,SUP045,AISLE-01-SHELF-27,31,In Stock,15/3/2025,Italy,36.7526,7.5633
SKU002242,Product_2242,Clothing,835.45,127,Low,27,1,12/4/2024,SUP046,AISLE-01-SHELF-27,30,In Stock,29/5/2023,Germany,50.2788,10.359
SKU003802,Product_3802,Electronics,350.46,293,Low,46,23,26/8/2024,SUP040,AISLE-01-SHELF-27,9,In Stock,31/10/2023,Netherlands,53.2912,3.8041
SKU000065,Product_65,Home & Garden,52.77,461,Mid,92,27,30/1/2025,SUP023,AISLE-01-SHELF-28,23,In Stock,12/2/2024,France,49.5078,3.8715
SKU000452,Product_452,Sports,119.97,652,Mid,46,9,25/12/2023,SUP013,AISLE-01-SHELF-28,29,In Stock,8/6/2023,Italy,45.5137,11.3275
SKU001604,Product_1604,Sports,732.59,267,Low,39,2,28/12/2023,SUP005,AISLE-01-SHELF-28,9,In Stock,24/6/2023,Germany,54.2546,8.5695
SKU001643,Product_1643,Office Supplies,239.96,486,Mid,19,13,7/4/2024,SUP031,AISLE-01-SHELF-28,33,In Stock,3/3/2024,Belgium,49.7091,5.9359
SKU002159,Product_2159,Sports,804.01,12,Low,37,18,17/5/2024,SUP005,AISLE-01-SHELF-28,35,In Stock,6/9/2023,Italy,46.5307,17.6653
SKU002935,Product_2935,Clothing,74.45,354,Mid,79,6,20/7/2024,SUP021,AISLE-01-SHELF-28,31,In Stock,6/9/2023,Germany,52.1925,8.9493
SKU001213,Product_1213,Clothing,378.73,39,Low,34,27,5/3/2025,SUP050,AISLE-01-SHELF-29,45,In Stock,13/2/2025,Sweden,57.1948,15.5061
SKU001438,Product_1438,Home & Garden,896.02,405,Mid,26,13,11/6/2024,SUP033,AISLE-01-SHELF-29,21,In Stock,25/10/2023,Sweden,65.4132,15.5056
SKU004364,Product_4364,Office Supplies,565.64,926,High,33,5,2/11/2024,SUP036,AISLE-01-SHELF-29,43,Out of Stock,12/8/2024,Poland,49.1832,19.1737
SKU001304,Product_1304,Home & Garden,72.92,3,Low,16,11,30/7/2024,SUP008,AISLE-01-SHELF-30,21,In Stock,2/2/2024,Poland,52.0168,18.8472
SKU004543,Product_4543,Clothing,904.24,517,Mid,54,20,2/5/2024,SUP006,AISLE-01-SHELF-30,5,In Stock,11/11/2023,Sweden,67.1169,22.6627
SKU004844,Product_4844,Books,498.05,610,Mid,81,29,9/11/2024,SUP045,AISLE-01-SHELF-30,38,In Stock,21/9/2024,Spain,38.3499,-5.7094
SKU000760,Product_760,Home & Garden,23.33,152,Low,81,25,30/4/2024,SUP034,AISLE-01-SHELF-31,36,In Stock,25/3/2024,Austria,47.1847,16.428
SKU002014,Product_2014,Sports,79.82,736,High,13,7,29/5/2024,SUP001,AISLE-01-SHELF-31,7,In Stock,6/1/2024,Spain,39.5445,0.0888
SKU002178,Product_2178,Toys,379.05,705,High,82,2,19/6/2024,SUP049,AISLE-01-SHELF-31,22,In Stock,24/6/2023,Germany,53.6395,10.3563
SKU003494,Product_3494,Sports,632.77,782,High,96,6,25/3/2025,SUP039,AISLE-01-SHELF-31,25,Out of Stock,6/8/2024,United Kingdom,53.4221,-1.3011
SKU004502,Product_4502,Books,362.01,859,High,11,2,9/10/2024,SUP050,AISLE-01-SHELF-31,16,In Stock,28/7/2024,Sweden,63.1946,19.1684
SKU000029,Product_29,Electronics,868.90,997,High,66,27,4/9/2024,SUP032,AISLE-01-SHELF-32,25,Out of Stock,21/5/2024,Netherlands,51.0688,5.6524
SKU000110,Product_110,Sports,187.60,436,Mid,88,2,25/10/2024,SUP022,AISLE-01-SHELF-32,14,In Stock,6/11/2023,Italy,46.3917,12.8262
SKU001379,Product_1379,Toys,156.72,295,Low,55,11,1/2/2024,SUP040,AISLE-01-SHELF-32,17,In Stock,28/11/2023,Poland,50.0104,23.7289
SKU003037,Product_3037,Books,486.18,315,Mid,19,6,14/12/2023,SUP039,AISLE-01-SHELF-32,49,In Stock,16/4/2023,Italy,45.1932,18.3855
SKU003245,Product_3245,Books,739.36,982,High,38,14,1/9/2025,SUP009,AISLE-01-SHELF-32,49,In Stock,4/2/2025,Belgium,49.7075,5.76
SKU000456,Product_456,Home & Garden,198.53,140,Low,90,19,22/11/2024,SUP043,AISLE-01-SHELF-33,31,In Stock,24/2/2024,Austria,48.2582,11.3497
SKU001078,Product_1078,Home & Garden,527.92,313,Mid,65,27,29/10/2025,SUP006,AISLE-01-SHELF-33,27,In Stock,10/3/2025,Netherlands,51.2682,6.1267
SKU001082,Product_1082,Sports,563.14,460,Mid,40,8,25/5/2024,SUP017,AISLE-01-SHELF-33,28,In Stock,1/2/2024,Belgium,50.487,6.1004
SKU001653,Product_1653,Toys,685.26,395,Mid,97,9,27/11/2025,SUP010,AISLE-01-SHELF-33,44,In Stock,11/2/2025,Italy,39.6757,11.0451
SKU002325,Product_2325,Office Supplies,363.35,692,Mid,75,4,19/10/2023,SUP002,AISLE-01-SHELF-33,22,In Stock,17/7/2023,Belgium,50.112,6.1161
SKU004216,Product_4216,Sports,81.26,756,High,67,11,25/1/2025,SUP001,AISLE-01-SHELF-33,42,In Stock,7/3/2024,Austria,47.7458,16.1126
SKU004922,Product_4922,Clothing,606.40,741,High,14,1,12/1/2024,SUP024,AISLE-01-SHELF-33,41,In Stock,22/10/2023,Netherlands,50.8759,7.1205
SKU000376,Product_376,Books,183.22,744,High,12,26,26/11/2024,SUP029,AISLE-01-SHELF-34,40,In Stock,19/5/2024,Belgium,50.7493,2.8165
SKU001232,Product_1232,Electronics,641.76,936,High,86,8,22/10/2023,SUP043,AISLE-01-SHELF-34,17,In Stock,18/5/2023,Germany,54.7624,12.1891
